Name,Address,Rating,Distance,Latitude,Longitude
Beast Pizza,"96 Tecumseth Street Toronto, ON M6J 2H1 Canada ",4.0,1595.0075245935918,43.6568254,-79.3966159
Jz's Pizza,"232 Wellington Street W Toronto, ON M5V 3W1 Canada ",4.1,1399.3913983739055,43.6568254,-79.3966159
Pizza Olive,"275 Dundas St W 33 Toronto, ON M5T 3K1 Canada ",0.0,571.181848975586,43.6568254,-79.3966159
Napoli Centrale,"964 Bathurst Street Toronto, ON M5R 3G5 Canada ",4.4,1929.640114131291,43.6568254,-79.3966159
Taverniti,"591 College Street Toronto, ON M6G 1B2 Canada ",4.0,1372.1094120500277,43.6568254,-79.3966159
8Mile Detroit Style Pizza,"9 Charles Street West Toronto, ON M4Y 1R4 Canada ",4.3,1518.0489170208555,43.6568254,-79.3966159
Cora Pizza,"656A Spadina Ave Toronto, ON M5S 2H7 Canada ",3.7,870.7664494687692,43.6568254,-79.3966159
Pizza Maru,"66 Gerrard Street E Toronto, ON M5B 2M2 Canada ",4.4,1472.2814833211771,43.6568254,-79.3966159
Danny’s Pizza Tavern,"611 College Street Toronto, ON M6G 1B5 Canada ",4.1,1455.2555404819377,43.6568254,-79.3966159
Cafe Diplomatico Restaurant & Pizzeria,"594 College St Toronto, ON M6G 1B3 Canada ",3.2,1388.002994782366,43.6568254,-79.3966159
Trattoria Mercatto,"220 Yonge Street Eaton Center Toronto, ON M5B 2H1 Canada ",3.3,1354.4156976235338,43.6568254,-79.3966159
The Fourth Man In The Fire,"832 Dundas Street W Toronto, ON M6J 1V3 Canada ",3.9,1182.7874105838023,43.6568254,-79.3966159
Pizzeria Libretto,"545 King Street W Toronto, ON M5V 1M1 Canada ",4.0,1404.5318776611684,43.6568254,-79.3966159
Tosto Quickfire Pizza Pasta,"800 Bay Street Unit 101 Toronto, ON M5S 3A9 Canada ",3.6,954.2734259908423,43.6568254,-79.3966159
PI CO.,"170 University Ave Toronto, ON M5H 3B3 Canada ",4.0,1251.8404392914674,43.6568254,-79.3966159
Za Cafe Pizzeria + Bar,"372 Bay Street Toronto, ON M5H 2W9 Canada ",4.2,1375.2054029941212,43.6568254,-79.3966159
Pizza Gigi,"189 Harbord Street Toronto, ON M5S 1H5 Canada ",3.1,1083.3292167257332,43.6568254,-79.3966159
General Assembly Pizza,"331 Adelaide St W Toronto, ON M5V 2G5 Canada ",3.8,1113.8625356229322,43.6568254,-79.3966159
Hey Lucy,"295 King St. W. Toronto, ON M5V 1J5 Canada ",3.5,1268.5792835148482,43.6568254,-79.3966159
Blaze Pizza,"10 Dundas Street E Toronto, ON M5B 2G9 Canada ",4.4,1295.0461817954717,43.6568254,-79.3966159
Queen Pizza,"238 Queen St W Toronto, ON M5V 1Z7 Canada ",4.0,879.8257624894237,43.6568254,-79.3966159
Pizza Nova,"267 College Street Toronto, ON M5T 1R5 Canada ",2.5,257.2100474539375,43.6568254,-79.3966159
